emp_no,last_name,first_name,birth_date,from_date,to_date,title
10095,Morton,Hilari,1965-01-03,1994-03-10,9999-01-01,Staff
10122,Esposito,Ohad,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10291,Seghrouchni,Dipayan,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10476,Iisaka,Kokou,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10663,Noriega,Teunis,1965-01-09,1999-02-12,9999-01-01,Technique Leader
10762,Himler,Lech,1965-01-19,1992-01-21,9999-01-01,Senior Staff
10933,Seghrouchni,Juyoung,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
12155,Glinert,Keiichiro,1965-01-21,1993-09-16,9999-01-01,Engineer
12408,Sudkamp,Rasiah,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12643,Schurmann,Morrie,1965-01-30,1998-12-31,9999-01-01,Staff
13499,Sidou,Kazuhiko,1965-01-16,1991-09-01,9999-01-01,Technique Leader
14075,Tchuente,Denny,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
14104,Demian,Sudhanshu,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14127,Cannard,Magdalena,1965-01-10,1994-04-22,9999-01-01,Engineer
14158,Setiz,Caolyn,1965-01-22,1990-02-06,9999-01-01,Senior Staff
14476,Marrevee,Sastry,1965-01-19,1999-09-25,9999-01-01,Engineer
14907,Luga,Nakhoon,1965-01-14,1986-12-18,9999-01-01,Senior Staff
15050,Kruskal,Nikolaos,1965-01-18,1990-12-17,9999-01-01,Engineer
15058,Bugrara,Bouchung,1965-01-30,1990-06-18,9999-01-01,Senior Staff
15413,Rabejac,Arvin,1965-01-17,1994-01-01,9999-01-01,Engineer
16461,Schahn,Remmert,1965-01-14,1986-09-06,9999-01-01,Senior Staff
16528,Swick,Gaurav,1965-01-21,1996-05-07,9999-01-01,Assistant Engineer
17013,Garigliano,Morris,1965-01-15,1995-05-24,9999-01-01,Senior Staff
17206,DeMori,Berry,1965-01-02,1992-12-27,9999-01-01,Engineer
17369,Kenevan,Yaghout,1965-01-31,2000-09-15,9999-01-01,Engineer
17447,Boreale,Zengping,1965-01-11,1998-12-16,9999-01-01,Staff
17731,Roison,Gennady,1965-01-16,1989-12-06,9999-01-01,Assistant Engineer
